word	hiragana	furigana	JLPT	kaishi	english	RIRIKKU_RANK	RIRIKKU_TIER
つくる	つくる	-	-1	1	-	118	B
監督	かんとく	監督[かんとく]	3	0	supervision; manager, director	118	B
おく	おく	-	-1	1	to put, to place	119	B
たかい	たかい	-	-1	1	-	119	B
っ	っ	-	-1	0	-	119	B
もらう	もらう	もらう	-1	1	to recieve	119	B
もんだい	もんだい	-	-1	1	-	119	B
キョン	キョン	-	-1	0	-	119	F
問題	もんだい	問題[もんだい]	5	1	problem, question, issue	119	B
貰う	もらう	貰[もら]う	3	0	[vt] receive; get so. to do sth.	119	B
高い	たかい	高[たか]い	5	1	high, tall; expensive	119	B
かも	かも	-	-1	0	-	120	B
やめる	やめる	やめる	-1	1	to quit	120	B
発売	はつばい	-	2	0	-	120	B
長	ちょう	-	1	1	chief, head	120	B
せんしゅ	せんしゅ	-	-1	0	-	121	B
たいする	たいする	-	-1	0	-	121	B
対する	たいする	対[たい]する	3	0	relating to something	121	B
有り難う	ありがとう	-	-1	0	Thank You (Formal)	121	B
機	き	機[はた]	1	0	loom「歴」	121	B
生徒	せいと	生徒[せいと]	5	1	pupil, student	121	B
のむ	のむ	-	-1	1	-	122	B
会社	かいしゃ	会社[かいしゃ]	5	0	company, corporation, firm	122	B
及び	および	及[およ]び	1	0	and [as] well as (formal)	122	B
悪い	わるい	悪[わる]い	5	1	bad	122	B
新	しん	-	1	0	-	122	B
語	ご	語[ご]	3	0	Language	122	B
飲む	のむ	飲[の]む	5	1	[vt] drink	122	B
だいがく	だいがく	-	-1	0	-	123	B
において	において	-	-1	0	-	123	B
顔	かお	顔[かお]	-1	1	face	123	B
少し	すこし	少[すこ]し	5	1	a few, a little	124	B
とめる	とめる	-	-1	1	-	125	B
ねえ	ねえ	-	-1	0	-	125	B
好き	すき	好[す]き	5	1	like, be fond of	125	B
手	て	手[て]	5	1	hand	125	B
止める	とめる	止[と]める	4	1	to stop	125	B
活動	かつどう	活動[かつどう]	3	1	activity, action; function	125	B
ごめん	ごめん	ごめん	-1	1	sorry	126	B
だいひょう	だいひょう	-	-1	0	-	126	B
べし	べし	-	-1	0	-	126	B
み	み	-	-1	1	-	126	B
代表	だいひょう	-	3	0	-	126	B
御免	ごめん	御免[ごめん]	2	0	your pardon; decline, refusal; permission	126	B
うえ	うえ	-	-1	1	-	127	C
しぬ	しぬ	-	-1	1	-	127	B
よく	よく	-	-1	1	well	127	B
受け	うけ	-	-1	0	-	127	U
四十	よんじゅう	-	-1	0	-	127	B
死ぬ	しぬ	死[し]ぬ	5	1	[vi] die, pass away	127	B
ほうほう	ほうほう	-	-1	1	-	128	B
わるい	わるい	-	-1	1	-	128	B
学	がく	-	3	0	-	128	B
方法	ほうほう	方法[ほうほう]	3	1	method, way; system; means; process	128	B
けんきゅう	けんきゅう	-	-1	1	-	129	B
